feature,importance
risk_score,0.17980103409779247
timestamp_days_since,0.12623626294521886
access_item,0.10312097192890386
timestamp_hour,0.10007706227896589
role,0.08350295880650996
location,0.07572652872138291
requester_role,0.07061286816919185
timestamp_day_of_week,0.06766889453839431
timestamp_month,0.06741824976793599
department,0.0671339260195605
seniority_level,0.04924595768196557
timestamp_year,0.009078058464867485
access_type,0.0003036265036892048
last_used_date_day_of_week,2.709408856783393e-05
frequency,2.681554178746354e-05
last_used_date_days_since,1.9690445265972527e-05
last_used_date_year,0.0
last_used_date_hour,0.0
last_used_date_month,0.0
